,Bfl1,BclB,Bcl2,BclXL,BclW,Mcl1
F21,11170.0,844.0,1557.0,1547.0,771.0,105.0
F30D,6385.0,588.0,1171.0,829.0,727.0,96.0
B+,251.0,5438.0,582.0,131.0,560.0,58.0
B-CDP01,691.0,1397.0,2413.0,1991.0,579.0,324.0
B40A,251.0,1352.0,323.0,239.0,445.0,26.0
2+,788.0,479.0,38150.0,662.0,546.0,114.0
4LVT,411.0,391.0,21015.0,352.0,582.0,71.0
X-CDP07,409.0,880.0,4757.0,7972.0,3554.0,242.0
MINDI,150.0,380.0,313.0,79.0,477.0,1051.0
Bim,0.0,1.0,1.0,1.0,0.0,2.0
Noxa,5.0,0.0,1.0,0.0,0.0,0.0
Puma,1.0,0.0,0.0,0.0,0.0,0.0
Bad,0.0,0.0,0.0,0.0,0.0,0.0
Bik,1.0,1.0,3.0,1.0,0.0,0.0
Hrk,0.0,0.0,0.0,0.0,0.0,0.0
Bmf,0.0,1.0,15.0,0.0,0.0,0.0
